company,country,director,genre,name,rating,star,writer,released,budget,gross,runtime,score,votes,year
Universal Pictures,USA,Steven Spielberg,Biography,Schindler's List,R,Liam Neeson,Thomas Keneally,04/02/1994,22000000,96067179,195,8.9,956124,1993
Twentieth Century Fox Film Corporation,USA,David Mickey Evans,Comedy,The Sandlot,PG,Tom Guiry,David Mickey Evans,07/04/1993,0,32416586,101,7.8,63337,1993
Universal Pictures,USA,Steven Spielberg,Adventure,Jurassic Park,PG-13,Sam Neill,Michael Crichton,11/06/1993,63000000,402453882,127,8.1,685270,1993
Touchstone Pictures,USA,Henry Selick,Animation,The Nightmare Before Christmas,PG,Danny Elfman,Tim Burton,29/10/1993,18000000,75082668,76,8,242487,1993
Gramercy Pictures (I),USA,Richard Linklater,Comedy,Dazed and Confused,R,Jason London,Richard Linklater,10/02/1994,6900000,7993039,102,7.7,133831,1993
Alcor Films,France,Joel Schumacher,Crime,Un día de furia,R,Michael Douglas,Ebbe Roe Smith,26/02/1993,25000000,40903593,113,7.6,143906,1993
Davis Entertainment,USA,Sydney Pollack,Drama,The Firm,R,Tom Cruise,John Grisham,30/06/1993,42000000,158348367,154,6.8,95562,1993
Morgan Creek Productions,USA,Tony Scott,Crime,True Romance,R,Christian Slater,Quentin Tarantino,10/09/1993,13000000,12281500,120,8,174471,1993
Paramount Pictures,USA,Barry Sonnenfeld,Comedy,Addams Family Values,PG-13,Anjelica Huston,Charles Addams,19/11/1993,75000000,48919043,94,6.6,62350,1993
Price Entertainment,USA,Robert De Niro,Crime,A Bronx Tale,R,Robert De Niro,Chazz Palminteri,01/10/1993,22000000,17266971,121,7.8,106183,1993
Paramount Pictures,USA,Lasse Hallström,Drama,What's Eating Gilbert Grape,PG-13,Johnny Depp,Peter Hedges,04/03/1994,11000000,9170214,118,7.8,183569,1993
Warner Bros.,USA,Agnieszka Holland,Drama,The Secret Garden,G,Kate Maberly,Frances Hodgson Burnett,13/08/1993,0,31181347,101,7.3,30896,1993
Columbia Pictures Corporation,USA,Harold Ramis,Comedy,Groundhog Day,PG,Bill Murray,Danny Rubin,12/02/1993,14600000,70906973,101,8,483649,1993
Brooksfilms,France,Mel Brooks,Adventure,Robin Hood: Men in Tights,PG-13,Cary Elwes,J.D. Shapiro,28/07/1993,20000000,35739755,104,6.7,97973,1993
Twentieth Century Fox Film Corporation,USA,Chris Columbus,Comedy,Mrs. Doubtfire,PG-13,Robin Williams,Anne Fine,24/11/1993,25000000,219200000,125,6.9,198772,1993
TriStar Pictures,USA,Nora Ephron,Comedy,Sleepless in Seattle,PG,Tom Hanks,Jeff Arch,25/06/1993,21000000,126533006,105,6.8,132264,1993
Columbia Pictures Corporation,USA,John McTiernan,Action,Last Action Hero,PG-13,Arnold Schwarzenegger,Zak Penn,18/06/1993,85000000,50016394,130,6.3,114476,1993
Hollywood Pictures,USA,Taylor Hackford,Crime,"Blood In, Blood Out",R,Damian Chapa,Ross Thomas,30/04/1993,35000000,4496583,180,8,24686,1993
Carolco Pictures,USA,Renny Harlin,Action,Cliffhanger,R,Sylvester Stallone,John Long,28/05/1993,70000000,84049211,112,6.4,102888,1993
Warner Bros.,USA,Andrew Davis,Action,The Fugitive,PG-13,Harrison Ford,Jeb Stuart,06/08/1993,44000000,183875760,130,7.8,226899,1993
Warner Bros.,USA,Simon Wincer,Adventure,Free Willy,PG,Jason James Richter,Keith Walker,16/07/1993,20000000,77698625,112,5.9,56085,1993
Paramount Pictures,USA,Adrian Lyne,Drama,Indecent Proposal,R,Robert Redford,Jack Engelhard,07/04/1993,38000000,106614100,117,5.8,51687,1993
TriStar Pictures,USA,Jonathan Demme,Drama,Philadelphia,PG-13,Tom Hanks,Ron Nyswaner,14/01/1994,26000000,77324422,125,7.7,191244,1993
Touchwood Pacific Partners 1,USA,Duwayne Dunham,Adventure,Homeward Bound: The Incredible Journey,G,Michael J. Fox,Sheila Burnford,12/02/1993,0,41833324,84,6.9,36081,1993
CiBy 2000,New Zealand,Jane Campion,Drama,El piano,R,Holly Hunter,Jane Campion,11/02/1994,7000000,40158000,121,7.6,67921,1993
Universal Pictures,USA,Brian De Palma,Crime,Carlito's Way,R,Al Pacino,Edwin Torres,12/11/1993,30000000,36948322,144,7.9,173380,1993
Touchstone Pictures,USA,Bill Duke,Comedy,Sister Act 2: Back in the Habit,PG,Whoopi Goldberg,Paul Rudnick,10/12/1993,38000000,57319029,107,5.4,39452,1993
Warner Bros.,USA,Marco Brambilla,Action,Demolition Man,R,Sylvester Stallone,Peter M. Lenkov,08/10/1993,57000000,58055768,115,6.6,133674,1993
Allied Filmmakers,UK,Annabel Jankel,Adventure,Super Mario Bros.,PG,Bob Hoskins,Parker Bennett,28/05/1993,42000000,20915465,104,4,40601,1993
TriStar Pictures,USA,David Anspaugh,Biography,Rudy,PG,Sean Astin,Angelo Pizzo,22/10/1993,0,22750363,114,7.5,45697,1993
Walt Disney Pictures,Austria,Stephen Herek,Action,The Three Musketeers,PG,Charlie Sheen,Alexandre Dumas,12/11/1993,30000000,53898845,105,6.4,43792,1993
Hell's Kitchen Films,Ireland,Jim Sheridan,Biography,En el nombre del padre,R,Daniel Day-Lewis,Gerry Conlon,25/02/1994,13000000,25010410,133,8.1,122973,1993
Paramount Pictures,USA,Phillip Noyce,Drama,Sliver,R,Sharon Stone,Ira Levin,21/05/1993,40000000,36300000,107,4.9,24457,1993
Film Andes S.A.,USA,Frank Marshall,Adventure,Alive,R,Ethan Hawke,Piers Paul Read,15/01/1993,32000000,36733909,120,7.1,42086,1993
Columbia Pictures Corporation,USA,Martin Scorsese,Drama,The Age of Innocence,PG,Daniel Day-Lewis,Edith Wharton,01/10/1993,30000000,32200000,139,7.2,39143,1993
Twentieth Century Fox Film Corporation,USA,Joseph Ruben,Drama,The Good Son,R,Macaulay Culkin,Ian McEwan,24/09/1993,17000000,44594000,87,6.4,30596,1993
Walt Disney Pictures,USA,Jon Turteltaub,Adventure,Cool Runnings,PG,John Candy,Lynn Siefert,01/10/1993,15000000,68856263,98,6.9,75331,1993
Renaissance Films,UK,Kenneth Branagh,Comedy,Much Ado About Nothing,PG-13,Kenneth Branagh,William Shakespeare,02/07/1993,11000000,22551000,111,7.4,39297,1993
Touchstone Pictures,USA,David S. Ward,Action,The Program,R,James Caan,David S. Ward,24/09/1993,15000000,23004026,112,6.4,7889,1993
Raffaella De Laurentiis Productions,USA,Rob Cohen,Action,Dragon: The Bruce Lee Story,PG-13,Jason Scott Lee,Robert Clouse,07/05/1993,14000000,35112679,120,7,23459,1993
New Line Cinema,USA,Albert Hughes,Crime,Menace II Society,R,Tyrin Turner,Allen Hughes,26/05/1993,3500000,27900000,97,7.5,42874,1993
Thin Man Films,UK,Mike Leigh,Comedy,Naked,NOT RATED,David Thewlis,Mike Leigh,04/02/1994,0,1769305,132,7.9,26378,1993
Universal Pictures,USA,John Woo,Action,Hard Target,R,Jean-Claude Van Damme,Chuck Pfarrer,20/08/1993,18000000,32589677,97,6.1,37456,1993
John Davis,USA,Donald Petrie,Comedy,Grumpy Old Men,PG-13,Jack Lemmon,Mark Steven Johnson,25/12/1993,0,70172621,103,6.9,36981,1993
Warner Bros.,USA,Nick Castle,Comedy,Dennis the Menace,PG,Walter Matthau,Hank Ketcham,25/06/1993,0,51270765,94,5.5,47507,1993
TriStar Television,USA,Ron Maxwell,Drama,Gettysburg,PG,Tom Berenger,Michael Shaara,08/10/1993,25000000,10769960,271,7.7,22949,1993
Twentieth Century Fox Film Corporation,USA,George Sluizer,Drama,The Vanishing,R,Jeff Bridges,Tim Krabbé,05/02/1993,0,14543394,109,6.3,19826,1993
Twentieth Century Fox Film Corporation,USA,Penelope Spheeris,Comedy,The Beverly Hillbillies,PG,Diedrich Bader,Paul Henning,15/10/1993,0,44029386,92,4.9,15276,1993
Propaganda Films,USA,John Dahl,Crime,Red Rock West,R,Nicolas Cage,John Dahl,14/05/1993,8000000,2502551,98,7,16835,1993
Knickerbocker Films,USA,Michael Caton-Jones,Biography,This Boy's Life,R,Robert De Niro,Tobias Wolff,23/04/1993,0,4104962,115,7.3,38466,1993
TriStar Pictures,USA,Thomas Schlamme,Comedy,So I Married an Axe Murderer,PG-13,Mike Myers,Robbie Fox,30/07/1993,20000000,11585483,93,6.4,29457,1993
Metro-Goldwyn-Mayer (MGM),USA,Jeremiah S. Chechik,Comedy,Benny & Joon,PG,Johnny Depp,Barry Berman,23/04/1993,0,23202734,98,7.2,48597,1993
Mainline Pictures,USA,Jennifer Lynch,Drama,Boxing Helena,R,Julian Sands,Philippe Caland,03/09/1993,0,1796389,107,4.6,10085,1993
Castle Rock Entertainment,USA,Fraser C. Heston,Crime,Needful Things,R,Max von Sydow,Stephen King,27/08/1993,0,15185672,120,6.2,18215,1993
Orion Pictures,USA,George A. Romero,Horror,The Dark Half,R,Timothy Hutton,Stephen King,23/04/1993,15000000,9579068,122,5.9,12885,1993
New Line Cinema,USA,Adam Marcus,Fantasy,Jason Goes to Hell: The Final Friday,R,John D. LeMay,Jay Huguely,13/08/1993,3000000,15935068,87,4.3,21333,1993
Paramount Pictures,USA,Stephen Surjik,Comedy,Wayne's World 2,PG-13,Mike Myers,Mike Myers,10/12/1993,40000000,48197805,95,6.1,66535,1993
Warner Bros.,USA,Alan J. Pakula,Crime,The Pelican Brief,PG-13,Julia Roberts,John Grisham,17/12/1993,45000000,100768056,141,6.6,63850,1993
Touchstone Pictures,USA,Brian Gibson,Biography,What's Love Got to Do with It,R,Angela Bassett,Tina Turner,25/06/1993,15000000,39100956,118,7.2,14287,1993
Columbia Pictures Corporation,USA,Wolfgang Petersen,Action,In the Line of Fire,R,Clint Eastwood,Jeff Maguire,09/07/1993,40000000,102314283,128,7.2,78551,1993
Paramount Pictures,USA,Steve Barron,Comedy,Coneheads,PG,Dan Aykroyd,Tom Davis,23/07/1993,0,21274717,88,5.2,44080,1993
Morgan Creek Productions,USA,Alan Shapiro,Drama,The Crush,R,Cary Elwes,Alan Shapiro,02/04/1993,6000000,13609396,89,5.7,12904,1993
Paramount Pictures,USA,Robert Lieberman,Biography,Fire in the Sky,PG-13,D.B. Sweeney,Travis Walton,12/03/1993,15000000,20100000,109,6.5,17555,1993
Trimark Pictures,USA,Mark Jones,Comedy,Leprechaun,R,Warwick Davis,Mark Jones,08/01/1993,900000,8556940,92,4.7,18654,1993
Warner Bros.,USA,Clint Eastwood,Crime,A Perfect World,PG-13,Kevin Costner,John Lee Hancock,24/11/1993,30000000,31160784,138,7.5,61676,1993
Fine Line Features,USA,Robert Altman,Comedy,Short Cuts,R,Andie MacDowell,Raymond Carver,01/10/1993,0,6110979,188,7.7,37151,1993
Columbia Pictures Corporation,USA,James Ivory,Drama,The Remains of the Day,PG,Anthony Hopkins,Kazuo Ishiguro,19/11/1993,15000000,22954968,134,7.9,49507,1993
MK2 Productions,France,Krzysztof Kieslowski,Drama,Three Colors: Blue,R,Juliette Binoche,Krzysztof Kieslowski,08/09/1993,0,1324974,98,8,68624,1993
CNCAIMC,Mexico,Guillermo del Toro,Horror,Cronos,R,Federico Luppi,Guillermo del Toro,1994-05,2000000,621392,94,6.7,21699,1993
Icon Entertainment International,USA,Rob Bowman,Adventure,Airborne,PG,Shane McDermott,Bill Apablasa,17/09/1993,2600000,2850263,91,6.2,5414,1993
Orion Pictures,USA,Fred Dekker,Action,RoboCop 3,PG-13,Nancy Allen,Edward Neumeier,05/11/1993,22000000,10696210,104,4,37985,1993
PolyGram Filmed Entertainment,USA,Dominic Sena,Crime,Kalifornia,R,Brad Pitt,Stephen Levy,03/09/1993,9000000,2395231,117,6.7,44601,1993
Twentieth Century Fox Film Corporation,USA,Jim Abrahams,Action,Hot Shots! Part Deux,PG-13,Charlie Sheen,Jim Abrahams,21/05/1993,25000000,38911970,86,6.6,72228,1993
Warner Bros.,USA,John Badham,Action,Point of No Return,R,Bridget Fonda,Luc Besson,19/03/1993,0,30038362,109,6,21683,1993
Hollywood Pictures,USA,Steve Rash,Comedy,Son in Law,PG-13,Pauly Shore,Patrick J. Clifton,02/07/1993,0,36448200,95,5.7,14463,1993
Costa do Castelo Filmes,Portugal,Bille August,Drama,La casa de los espíritus,R,Jeremy Irons,Isabel Allende,01/04/1994,25000000,6265311,140,6.9,18007,1993
Twentieth Century Fox Film Corporation,USA,Daniel Stern,Comedy,Rookie of the Year,PG,Thomas Ian Nicholas,Sam Harper,07/07/1993,10000000,53579269,103,5.9,19681,1993
Warner Bros. Animation,USA,Eric Radomski,Animation,Batman: Mask of the Phantasm,PG,Kevin Conroy,Bob Kane,25/12/1993,6000000,5617391,76,7.9,33504,1993
Twentieth Century Fox Film Corporation,USA,Philip Kaufman,Action,Rising Sun,R,Sean Connery,Michael Crichton,30/07/1993,35000000,63095271,125,6.2,37093,1993
Icon Entertainment International,USA,Mel Gibson,Drama,The Man Without a Face,PG-13,Mel Gibson,Isabelle Holland,25/08/1993,0,24760338,115,6.7,24307,1993
TriStar Pictures,USA,Tom Ropelewski,Comedy,Look Who's Talking Now,PG-13,John Travolta,Tom Ropelewski,05/11/1993,0,10340263,96,4.2,23744,1993
Columbia Pictures Corporation,USA,John Singleton,Drama,Poetic Justice,R,Janet Jackson,John Singleton,23/07/1993,14000000,27515786,109,5.9,9850,1993
Baltimore Pictures,USA,Luis Llosa,Action,Sniper,R,Tom Berenger,Michael Frost Beckner,29/01/1993,0,18994653,98,6.1,20355,1993
Tommy,USA,Tom Stern,Comedy,Freaked,PG-13,Brooke Shields,Tim Burns,31/03/1994,11000000,29296,86,6.3,4909,1993
Columbia Pictures Corporation,USA,Walter Hill,Drama,Geronimo: An American Legend,PG-13,Jason Patric,John Milius,10/12/1993,35000000,18635620,115,6.5,7190,1993
Canal+,USA,Emir Kusturica,Comedy,Arizona Dream,R,Johnny Depp,David Atkins,09/09/1994,19000000,106658,142,7.4,36250,1993
B.A. Produktion,Germany,Joseph Vilsmaier,Drama,Stalingrad,NOT RATED,Dominique Horwitz,Jürgen Büscher,21/01/1993,0,77848,134,7.5,25655,1993
Castle Rock Entertainment,Canada,Harold Becker,Crime,Malicia,R,Alec Baldwin,Aaron Sorkin,01/10/1993,20000000,46044636,107,6.4,19410,1993
Dino De Laurentiis Company,Germany,Uli Edel,Drama,El cuerpo del delito,R,Madonna,Brad Mirman,15/01/1993,30000000,13275426,99,4.4,11992,1993
Hollywood Pictures,USA,Thomas Carter,Drama,Swing Kids,PG-13,Robert Sean Leonard,Jonathan Marc Feldman,05/03/1993,0,5632086,112,6.8,13893,1993
Paramount Pictures,USA,Peter Bogdanovich,Comedy,The Thing Called Love,PG-13,River Phoenix,Carol Heikkinen,27/08/1993,14000000,1029721,116,6.3,6086,1993
Spring Creek Productions,USA,Peter Weir,Drama,Fearless,R,Jeff Bridges,Rafael Yglesias,05/11/1993,0,6995302,122,7.1,18643,1993
Warner Bros.,USA,Ivan Reitman,Comedy,Dave,PG-13,Kevin Kline,Gary Ross,07/05/1993,0,63270710,110,6.8,42827,1993
Northern Lights Entertainment,USA,Rod Daniel,Comedy,Beethoven's 2nd,PG,Charles Grodin,John Hughes,17/12/1993,15000000,53354166,89,4.8,20989,1993
Recorded Picture Company (RPC),Italy,Bernardo Bertolucci,Drama,Little Buddha,PG,Keanu Reeves,Bernardo Bertolucci,25/05/1994,35000000,4858139,123,6,13197,1993
Metro-Goldwyn-Mayer (MGM),USA,Fred Schepisi,Comedy,Six Degrees of Separation,R,Will Smith,John Guare,08/12/1993,12000000,6410676,112,6.9,17414,1993
Alcor Films,France,Oliver Stone,Action,El cielo y la tierra,R,Hiep Thi Le,Le Ly Hayslip,07/01/1994,33000000,5864949,140,6.8,11419,1993
Golden Harvest Company,USA,Stuart Gillard,Action,Teenage Mutant Ninja Turtles III,PG,Elias Koteas,Kevin Eastman,19/03/1993,17000000,42660000,96,4.8,26647,1993
New Line Cinema,USA,Gene Quintano,Action,Loaded Weapon 1,PG-13,Emilio Estevez,Don Holley,05/02/1993,8200000,27979400,84,6.1,39412,1993
Imagine Entertainment,USA,Tamra Davis,Comedy,CB4,R,Chris Rock,Chris Rock,12/03/1993,0,17953778,89,6.2,7711,1993
New Line Cinema,USA,Neal Israel,Action,Surf Ninjas,PG,Ernie Reyes Sr.,Dan Gordon,20/08/1993,0,4916135,100,5,6673,1993
Dorset Productions,USA,Abel Ferrara,Horror,Body Snatchers,R,Gabrielle Anwar,Jack Finney,28/01/1994,13000000,428868,87,5.9,14297,1993
Geffen Pictures,USA,David Cronenberg,Drama,M. Butterfly,R,Jeremy Irons,David Henry Hwang,01/10/1993,0,1499795,101,6.8,7251,1993
Universal Pictures,USA,Phil Nibbelink,Animation,We're Back! A Dinosaur's Story,G,John Goodman,John Patrick Shanley,24/11/1993,0,9315576,72,6.1,11383,1993
Mirage Enterprises,USA,Steve Kloves,Drama,Flesh and Bone,R,Dennis Quaid,Steve Kloves,05/11/1993,0,9488998,126,6.2,4267,1993
Price Entertainment,UK,Richard Attenborough,Biography,Shadowlands,PG,Anthony Hopkins,William Nicholson,14/01/1994,22000000,25842000,131,7.4,14238,1993
Hollywood Pictures,USA,Wayne Wang,Drama,The Joy Luck Club,R,Tamlyn Tomita,Amy Tan,29/10/1993,11000000,32861136,139,7.6,13064,1993
Bandai Visual Company,USA,Brian Yuzna,Horror,Return of the Living Dead III,R,Kent McCord,John Penney,25/02/1994,2000000,54207,97,5.9,11145,1993
Largo Entertainment,USA,Stephen Hopkins,Action,Judgment Night,R,Emilio Estevez,Lewis Colick,15/10/1993,21000000,12136938,110,6.6,12969,1993
Mirage Enterprises,USA,Steven Zaillian,Biography,Searching for Bobby Fischer,PG,Joe Mantegna,Fred Waitzkin,11/08/1993,0,7266383,109,7.5,25256,1993
PolyGram Filmed Entertainment,USA,Nicholas Kazan,Drama,Dream Lover,R,James Spader,Nicholas Kazan,06/05/1994,0,256264,103,6.2,3327,1993
Davis-Films,France,Roger Avary,Crime,Killing Zoe,R,Eric Stoltz,Roger Avary,1994-09,1500000,418953,96,6.5,17980,1993
Columbia Pictures Corporation,USA,Rowdy Herrington,Action,Striking Distance,R,Bruce Willis,Rowdy Herrington,17/09/1993,30000000,23798623,102,5.8,35484,1993
Beijing Film Studio,China,Kaige Chen,Drama,Farewell My Concubine,R,Leslie Cheung,Pik Wah Lee,15/10/1993,0,5216888,171,8.1,19497,1993
Columbia Pictures Corporation,USA,Robert Harmon,Action,Nowhere to Run,R,Jean-Claude Van Damme,Joe Eszterhas,15/01/1993,15000000,22189039,94,5.6,18494,1993
Metro-Goldwyn-Mayer (MGM),USA,Tony Bill,Comedy,Untamed Heart,PG-13,Christian Slater,Tom Sierchio,12/02/1993,7500000,18899204,102,6.8,10810,1993
Universal Pictures,USA,Barry Sonnenfeld,Comedy,For Love or Money,PG,Michael J. Fox,Mark Rosenthal,01/10/1993,30000000,10997166,96,6.1,10037,1993
Universal Pictures,USA,Joe Dante,Comedy,Matinee,PG,John Goodman,Jerico,29/01/1993,0,9532895,99,6.8,7511,1993
British Screen Finance Ltd.,Australia,John Duigan,Comedy,Sirenas,R,Hugh Grant,John Duigan,25/03/1994,0,7770731,98,5.8,8692,1993
TriStar Pictures,USA,Woody Allen,Comedy,Manhattan Murder Mystery,PG,Woody Allen,Woody Allen,18/08/1993,13500000,11285588,104,7.4,30925,1993
Universal Pictures,USA,Ron Underwood,Comedy,Heart and Souls,PG-13,Robert Downey Jr.,Gregory Hansen,13/08/1993,0,16581714,104,6.9,13859,1993
British Broadcasting Corporation (BBC),France,Andrew Birkin,Drama,The Cement Garden,NOT RATED,Charlotte Gainsbourg,Andrew Birkin,11/02/1994,0,322975,105,7.2,3847,1993
Canal+,USA,Richard Benjamin,Comedy,Made in America,PG-13,Whoopi Goldberg,Marcia Brandwynne,28/05/1993,22000000,44942695,111,4.9,12718,1993
Canal+,France,Jon Amiel,Drama,Sommersby,PG-13,Richard Gere,Daniel Vigne,05/02/1993,0,50081992,114,6.1,16471,1993
Polygram Filmed Entertainment,UK,Peter Medak,Action,Romeo Is Bleeding,R,Gary Oldman,Hilary Henkin,04/02/1994,11500000,3275585,100,6.6,11408,1993
Walt Disney Pictures,USA,Stephen Sommers,Adventure,The Adventures of Huck Finn,PG,Elijah Wood,Mark Twain,02/04/1993,6500000,24103594,108,6.2,6666,1993
Columbus Circle Films,USA,Tom Holland,Drama,The Temp,R,Timothy Hutton,Kevin Falls,12/02/1993,15000000,6419876,99,5.1,2554,1993
Universal Pictures,USA,John McNaughton,Comedy,Mad Dog and Glory,R,Robert De Niro,Richard Price,05/03/1993,0,11081586,97,6.2,18138,1993
Channel Four Films,USA,Allison Anders,Crime,Mi vida loca,R,Angel Aviles,Allison Anders,15/07/1994,0,3269420,92,6.5,1614,1993
Alpilles Productions,France,Jean-Marie Poiré,Comedy,Los visitantes,R,Christian Clavier,Christian Clavier,12/07/1996,0,700000,107,7,26753,1993
Laughing Kookaburra Productions,Australia,John Duigan,Drama,Wide Sargasso Sea,NC-17,Karina Lombard,Jan Sharp,16/04/1993,0,1610792,98,5.8,1662,1993
Capella Films,USA,Bruce Joel Rubin,Drama,My Life,PG-13,Michael Keaton,Bruce Joel Rubin,12/11/1993,0,27484464,117,6.8,9147,1993
August Entertainment,USA,Sheldon Lettich,Action,Only the Strong,PG-13,Mark Dacascos,Sheldon Lettich,27/08/1993,6000000,3273588,99,6.7,4542,1993
"Deseo, El",Spain,Pedro Almodóvar,Comedy,Kika,NOT RATED,Peter Coyote,Pedro Almodóvar,06/05/1994,0,2093370,114,6.5,10149,1993
Touchstone Pictures,USA,Bob Balaban,Comedy,My Boyfriend's Back,PG-13,Andrew Lowery,Dean Lorey,06/08/1993,0,3335984,85,5.4,3667,1993
New Line Cinema,USA,Gus Van Sant,Comedy,Even Cowgirls Get the Blues,R,Uma Thurman,Tom Robbins,20/05/1994,8000000,1710000,95,4.3,6381,1993
Artimm,USA,Robert Klane,Adventure,Weekend at Bernie's II,PG,Andrew McCarthy,Robert Klane,09/07/1993,7000000,12741891,97,4.6,11036,1993
Outlaw Productions (I),Canada,Mike Binder,Comedy,Indian Summer,PG-13,Alan Arkin,Mike Binder,23/04/1993,9000000,14904910,97,6.5,4338,1993
Metro-Goldwyn-Mayer (MGM),USA,Carl Reiner,Comedy,Fatal Instinct,PG-13,Armand Assante,David O'Malley,29/10/1993,0,7852653,91,5.7,5807,1993
Hanna-Barbera Productions,UK,Charles Grosvenor,Animation,Once Upon a Forest,G,Michael Crawford,Rae Lambert,18/06/1993,13000000,6574896,71,6.5,4131,1993
Touchstone Pictures,USA,James Lapine,Comedy,Life with Mikey,PG,Michael J. Fox,Marc Lawrence,04/06/1993,0,12440858,91,5.5,4691,1993
Metro-Goldwyn-Mayer (MGM),USA,Herbert Ross,Comedy,Undercover Blues,PG-13,Kathleen Turner,Ian Abrams,10/09/1993,0,12416686,90,6,6516,1993
Richard Williams Productions,UK,Richard Williams,Animation,The Thief and the Cobbler,G,Vincent Price,Richard Williams,25/08/1995,28000000,669276,72,7.1,2780,1993
Metro-Goldwyn-Mayer (MGM),USA,Robert Townsend,Action,The Meteor Man,PG,Robert Townsend,Robert Townsend,06/08/1993,30000000,8023147,100,5,5627,1993
Imagine Films Entertainment,USA,Henry Winkler,Comedy,Cop & ½,PG,Burt Reynolds,Arne Olsen,02/04/1993,14000000,31888805,97,3.9,7406,1993
Trimark Pictures,USA,Anthony Hickox,Fantasy,Warlock: The Armageddon,R,Julian Sands,David Twohy,24/09/1993,3000000,3902679,98,5.3,4275,1993
Wildwood Enterprises,USA,Steven Soderbergh,Drama,King of the Hill,PG-13,Jesse Bradford,A.E. Hotchner,20/08/1993,8000000,1299318,103,7.6,6291,1993
New Line Cinema,USA,Michael Gottlieb,Action,Mr. Nanny,PG,Hulk Hogan,Edward Rugoff,08/10/1993,10000000,4247162,84,3.6,7914,1993
Island World,USA,Stephen Gyllenhaal,Drama,A Dangerous Woman,R,Debra Winger,Mary McGarry Morris,03/12/1993,0,1497222,102,5.9,1327,1993
Film Workshop,Hong Kong,Woo-Ping Yuen,Action,Iron Monkey,PG-13,Rongguang Yu,Tan Cheung,12/10/2001,11000000,14681661,90,7.6,13830,1993
Road Movies Filmproduktion,Germany,Wim Wenders,Drama,"Faraway, So Close!",PG-13,Otto Sander,Wim Wenders,21/12/1993,10500000,810455,144,7.3,6278,1993
"Movie Group, The",USA,Robert Radler,Action,Best of the Best II,R,Eric Roberts,Max Strom,05/03/1993,0,6607218,101,5.4,4469,1993
Walt Disney Pictures,USA,Mikael Salomon,Adventure,A Far Off Place,PG,Reese Witherspoon,Laurens van der Post,12/03/1993,0,12890752,100,6.6,2952,1993
